DistrictName,BlockID,blockName,IHHLTotal,
BAGALKOT,5753,BADAMI,45957,
BAGALKOT,5754,BAGALKOT,32326,
BAGALKOT,5755,BILAGI,26455,
BAGALKOT,5756,HUNGUND,39563,
BAGALKOT,5757,JAMKHANDI,46507,
BAGALKOT,5758,MUDHOL,37696,228504
BALLARI,5781,BELLARY,53332,
BALLARI,5782,HADAGALLI,35343,
BALLARI,5783,HAGARIBOMMANAHALLI,30619,
BALLARI,5784,HOSPET,27108,
BALLARI,5785,KUDLIGI,40843,
BALLARI,5786,SANDUR,32138,
BALLARI,5787,SIRUGUPPA,33728,253111
BELAGAVI,5771,ATHANI,62130,
BELAGAVI,5773,BAILHONGAL,47527,
BELAGAVI,5772,BELAGAVI,72919,
BELAGAVI,5774,CHIKKODI,78084,
BELAGAVI,5775,GOKAK,57473,
BELAGAVI,5776,HUKKERI,58941,
BELAGAVI,5777,KHANAPUR,44281,
BELAGAVI,5779,RAMDURG,37748,
BELAGAVI,5780,RAYBAG,39659,
BELAGAVI,5778,SAVADATTI,42502,541264
BENGALURU RURAL,5764,DEVANHALLI,28166,
BENGALURU RURAL,5765,DODBALLAPUR,45367,
BENGALURU RURAL,5766,HOSKOTE,48041,
BENGALURU RURAL,5769,NELAMANGALA,34459,156033
BENGALURU URBAN,5759,ANEKAL,57613,
BENGALURU URBAN,5760,BANGALORE EAST,21610,
BENGALURU URBAN,5761,BANGALORE NORTH,70680,
BENGALURU URBAN,5762,BANGALORE SOUTH,32692,182595
BIDAR,5788,AURAD,47131,
BIDAR,5789,BASAVAKALYAN,44216,
BIDAR,5790,BHALKI,45859,
BIDAR,5791,BIDAR,43243,
BIDAR,5792,HUMNABAD,41330,221779
